ASP221,TCGA-06-0141-01A 
ASP308,TCGA-06-0142-01A 
FPH113,TCGA-06-0143-01A 
FPH114,TCGA-06-0145-01A 
FPH118,TCGA-06-0146-01A 
FPH309,TCGA-06-0147-01A 
E07733,TCGA-06-0148-01A 
E09176,TCGA-06-0149-01A 
E09214,TCGA-06-0152-01A 
E09262,TCGA-06-0154-01A 
E09362,TCGA-06-0156-01A 
E09471,TCGA-06-0157-01A 
E09673,TCGA-06-0158-01A 
E09743,TCGA-06-0160-01A 
E09800,TCGA-06-0162-01A 
E09801,TCGA-06-0132-01A 
E09826,TCGA-06-0133-01A 
E09896,TCGA-06-0137-01A 
E09900,TCGA-06-0137-01B 
E09921,TCGA-06-0138-01A 
E09922,TCGA-06-0139-01A 
E09945,TCGA-06-0140-01A 
